p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,key_press,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,,"{""Q0"":""I determined which ending had the most to offer and snaked my way down to which path had the highest reward."",""Q1"":""Yes"",""Q2"":""20"",""Q3"":""Female""}",67712,,1018683,,,survey-text,,0
,,,,,,,,,,,,,,"{""Q0"":""Looking for the most green trails. Stayed away from the high red numbers"",""Q1"":""Once in a while it is okay to start negative is there is a bigger positive at the end."",""Q2"":""47"",""Q3"":""Female""}",68585,,1220954,,,survey-text,,1
,,,,,,,,,,,,,,"{""Q0"":""In L-shaped patterns."",""Q1"":""Due to the rotational rule of the values, if the last path chosen has -20$ and mostly negatives in it, choosing that same path on the next round has a higher chance of being positive numbers."",""Q2"":""25"",""Q3"":""female""}",182928,,1760665,,,survey-text,,4
,,,,,,,,,,,,,,"{""Q0"":""I Mainly just started with the four center circles and if I saw a +12/+20 I would keep going down that path and if i saw a -12/20 i switched to the others. If a path gave me a total of above 20 I usually stopped searching."",""Q1"":""I was picking the outer circles at first when I started and then switched to the Inners for first picks."",""Q2"":""24"",""Q3"":""Male""}",123040,,1236383,,,survey-text,,5
,,,,,,,,,,,,,,"{""Q0"":""Choosing just a few points and finding what I thought was a positive dollar path"",""Q1"":""Looking at all the points was too expensive, but finding a path that was at least a good profit was a better strategy"",""Q2"":""50"",""Q3"":""Female""}",104871,,1246608,,,survey-text,,6
,,,,,,,,,,,,,,"{""Q0"":""I chose routes with most money"",""Q1"":""It seemed mostly a bet"",""Q2"":""41"",""Q3"":""Female""}",42711,,1193710,,,survey-text,,7
,,,,,,,,,,,,,,"{""Q0"":""I planned as a circle and when it didn't work for me I started back over or at least tried to make it as close as I could."",""Q1"":""Not really."",""Q2"":""50"",""Q3"":""Male""}",86747,,1402595,,,survey-text,,9
,,,,,,,,,,,,,,"{""Q0"":""Clicked a couple times to see if there were any huge negatives in general directions before moving"",""Q1"":""Clicking to plan is expensive, and it seems like there were many negative spots regardless. Blindly moving almost seems like a better option but still unsure at the end."",""Q2"":""33"",""Q3"":""Male""}",90636,,1237802,,,survey-text,,10
,,,,,,,,,,,,,,"{""Q0"":""I clicked all the first stops first. From there I followed the most dollar amount. If I encountered any -$20 I stopped. I followed the path of 'green only' when possible. If there was an all green path before I looked at all the amounts, I usually took it. "",""Q1"":""Avoid big losses. Follow the path that has the most rewards but don't get too greedy in knowing all the options. "",""Q2"":""34"",""Q3"":""female ""}",229852,,1229994,,,survey-text,,11
,,,,,,,,,,,,,,"{""Q0"":""check value of the 4 directions you can go, chose the one that was worth the most and try to avoid any deductions."",""Q1"":""Honestly no. It seemed completely random which you can't plan for."",""Q2"":""33"",""Q3"":""Male""}",107712,,1475373,,,survey-text,,12
,,,,,,,,,,,,,,"{""Q0"":""I looked at the first circle amount then went from there."",""Q1"":""not really"",""Q2"":""27"",""Q3"":""female""}",47269,,1250598,,,survey-text,,13
,,,,,,,,,,,,,,"{""Q0"":""At first I didn't have a good strategy.  I then realized that I needed to find out more information in order to make the best route possible.  "",""Q1"":""Yes, i learned that it works better to have more than enough information. "",""Q2"":""48"",""Q3"":""female""}",112342,,1284424,,,survey-text,,15
,,,,,,,,,,,,,,"{""Q0"":""Assessing the net gain for each route"",""Q1"":""Yes, I learned that you have to see what's around each corner even though it may initially appear to pay less, given that the loss of the first move isn't too high in the first place (e.g., only $4 vs. $20)"",""Q2"":""39"",""Q3"":""female""}",114267,,1081758,,,survey-text,,16
,,,,,,,,,,,,,,"{""Q0"":""I didn't plan. I went with gut instincts I guess."",""Q1"":""Nope not at all."",""Q2"":""32"",""Q3"":""female""}",26110,,1560290,,,survey-text,,17
,,,,,,,,,,,,,,"{""Q0"":""First, I selected the first four paths. Out of the ones that had the highest amounts, I selected the rest of the path to see which ones would yield the most profit."",""Q1"":""I learned that sometimes, you have to take a loss before you get a big payout."",""Q2"":""20"",""Q3"":""Female""}",81355,,1437309,,,survey-text,,18
,,,,,,,,,,,,,,"{""Q0"":""I looked at the values for the end decision, then looked at the initial decision to find the higher value"",""Q1"":""I learned to check the second decision first then the first"",""Q2"":""36"",""Q3"":""Male""}",50818,,1115572,,,survey-text,,19
