p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,"{""Q0"":""checking the path that I intended on following"",""Q1"":""use at least nine reveals "",""Q2"":""27"",""Q3"":""male""}",95126,,840711,,,survey-text,,0
,,,,,,,,,,,,,"{""Q0"":""I tried to get more green numbers than red.  Tried to follow the green paths."",""Q1"":""Towards the end I just took the greens that appeared the most in a row instead of clicking all of the bubbles to reveal the monetary values."",""Q2"":""36"",""Q3"":""female""}",81455,,995126,,,survey-text,,1
,,,,,,,,,,,,,"{""Q0"":""i tried to find a profitable route with as few reveals as profitable. I didn't care about finding the most profitable because I could waste/lose money trying to find that. I just wanted to come out on top. "",""Q1"":""Well, at first i didn't think i needed to check the middle pod, the one between the final two choices. But, after a few times I felt like I was losing money on that one so I started checking it instead of gambling on it. "",""Q2"":""33"",""Q3"":""female""}",142951,,1207052,,,survey-text,,2
,,,,,,,,,,,,,"{""Q0"":""I was trying to get it to the corners. and started the wrong way most of the time"",""Q1"":""yes"",""Q2"":""40"",""Q3"":""female""}",77013,,1272178,,,survey-text,,3
,,,,,,,,,,,,,"{""Q0"":""I clicked on the flight paths to try and find the best one.  I always clicked the first and last of a couple paths to see which could be good."",""Q1"":""I learned to forget the about  some of the ending places and just try 2 or 3 end spots and to try 2 or 3 of the first moves."",""Q2"":""41"",""Q3"":""male""}",107360,,912045,,,survey-text,,4
,,,,,,,,,,,,,"{""Q0"":""I clicked on the closest circles first and generally eliminated any negative numbers. Then, i clicked the next circle on the route for the positive numbers and the two circles after that, then i chose which ever one would give a higher amount."",""Q1"":""At first, I did not want to spend money to find out where the numbers were. The first two rounds I made money but lost some on the third round. After that I figured out that my net amount would be higher if I spent that 5 cents rather than guessing."",""Q2"":""29"",""Q3"":""female""}",168491,,1064373,,,survey-text,,5
,,,,,,,,,,,,,"{""Q0"":""Just took a guess"",""Q1"":""No"",""Q2"":""26"",""Q3"":""female""}",18713,,828181,,,survey-text,,6
,,,,,,,,,,,,,"{""Q0"":""trying to minimize the clicks and looking for a route that would likely be profitable"",""Q1"":""not to spend too much on revealing"",""Q2"":""48"",""Q3"":""male""}",39319,,1243839,,,survey-text,,7
,,,,,,,,,,,,,"{""Q0"":""I always clicked the inner 4 options. Then, I started with the best paying of those and followed that path to see if it paid well. If it did, then I usually went with that path, but if I felt it paid low then I checked another path."",""Q1"":""I don't feel that I did."",""Q2"":""28"",""Q3"":""Male""}",46198,,833237,,,survey-text,,8
,,,,,,,,,,,,,"{""Q0"":""It was random. "",""Q1"":""No"",""Q2"":""39"",""Q3"":""female""}",18435,,1018505,,,survey-text,,10
,,,,,,,,,,,,,"{""Q0"":""I checked the dollar amounts first and chose the route with the highest amount available."",""Q1"":""Yes, on the last round of routes I stopped checking all prices and just checked the first couple. "",""Q2"":""42"",""Q3"":""Female""}",108503,,1036930,,,survey-text,,11
,,,,,,,,,,,,,"{""Q0"":""I chose the route that would net the highest $ amount.  I clicked the most outer/final destination circles first, then worked my way in to find the best route."",""Q1"":""To take my time and not rush into a decision."",""Q2"":""42"",""Q3"":""Female""}",63420,,844375,,,survey-text,,12
,,,,,,,,,,,,,"{""Q0"":""At first I chose any route that looked like it would provide a net benefit while making as few informative choices as possible. But then I realized the cost of more information was negligible compared to the size of the highest possible bonus and collected as much information as possible before choosing the best route."",""Q1"":""I suppose. If the cost of good planning is low, planning carefully will be worth your time and money."",""Q2"":""34"",""Q3"":""Male""}",1035643,,1996652,,,survey-text,,13
,,,,,,,,,,,,,"{""Q0"":""I picked whichever way got the most money."",""Q1"":""Only pick some of the reveals, not all."",""Q2"":""22"",""Q3"":""female""}",37390,,1026408,,,survey-text,,14
,,,,,,,,,,,,,"{""Q0"":""Started with determining the payout of each final location, eliminating ones that had a negative balance end point. I then turned to the closest node (to the center), opting for the biggest payout."",""Q1"":""Yes- occassionally the highest payout (based on end-point) is not the most profitable."",""Q2"":""40"",""Q3"":""male""}",77232,,938554,,,survey-text,,15
,,,,,,,,,,,,,"{""Q0"":""Best case scenario based on the least amount of negative choices. "",""Q1"":""spend the money to uncover and see the best route to plan. "",""Q2"":""31"",""Q3"":""Male""}",59529,,972386,,,survey-text,,16
,,,,,,,,,,,,,"{""Q0"":""I checked which paths didn't lose money and chose those. "",""Q1"":""Yes, I understood the game better as it went on. "",""Q2"":""40"",""Q3"":""Female""}",66956,,936578,,,survey-text,,17
,,,,,,,,,,,,,"{""Q0"":""clicking only certain circles"",""Q1"":""only looking at worthwhile options"",""Q2"":""21"",""Q3"":""female""}",67218,,1636815,,,survey-text,,18
,,,,,,,,,,,,,"{""Q0"":""Well I had to uncover the destination circles to know what is waiting for me. then from there I compared the amounts and picked what routes seems to have higher green numbers."",""Q1"":""Yes, The first one I did was so wrong, but after that, I realized that what matters is the end circles."",""Q2"":""31"",""Q3"":""male""}",120277,,1321402,,,survey-text,,19
,,,,,,,,,,,,,"{""Q0"":""I checked all of the possible locations, and picked the ones that offered the most overall money"",""Q1"":""Yes - usually $20 was as high as it would get, so as soon as a route had $20 and $12, I would take it. "",""Q2"":""25"",""Q3"":""Female""}",38189,,1959333,,,survey-text,,21
,,,,,,,,,,,,,"{""Q0"":""Revealing the starting directions first, followed by the end points. Then, comparing the amounts."",""Q1"":""I think on the first few rounds I clicked on as many as possible but then switched only to those I deemed necessary. Although my memory of that may be incorrect."",""Q2"":""32"",""Q3"":""Male""}",199120,,1057229,,,survey-text,,22
,,,,,,,,,,,,,"{""Q0"":""I always started with the starting point amounts, then further investigated the most lucrative routes. I investigated the less lucrative routes only if it was logically possible for the amount to end up greater than the highest I'd already uncovered."",""Q1"":""The way I planned changed. I continued to view all the starting point values, and to view those first. But initially I was uncovering the start point and the end point first, and leaving the middle for last. I realized that didn't really follow logically, since I'd potentially be doubling how many points I checked. I started checking the middle point second, generally for the top 2 starting values. From there I'd start logically determining whether even in the best case scenario (generally of 2 +20 in a row) an unrevealed route could be better. I also figured over time that it wasn't likely to find 2 20+ points in a route, so somewhat ignored that possibility unless nothing else was appealing."",""Q2"":""27"",""Q3"":""female""}",415011,,1554584,,,survey-text,,23
,,,,,,,,,,,,,"{""Q0"":""I looked at what might give a reward."",""Q1"":""Yes, start from the beginning and go from there."",""Q2"":""37"",""Q3"":""Female""}",51346,,1097690,,,survey-text,,24
,,,,,,,,,,,,,"{""Q0"":""based on the end dollar accumulated"",""Q1"":""yes. Looking for the best route"",""Q2"":""44"",""Q3"":""Male""}",44798,,935009,,,survey-text,,25
,,,,,,,,,,,,,"{""Q0"":""At first I clicked to see which way was best to go first but then decided it didn't really help."",""Q1"":""Not really. Since it changed each time, it was mostly chance. "",""Q2"":""55"",""Q3"":""female""}",62358,,1119051,,,survey-text,,26
,,,,,,,,,,,,,"{""Q0"":""I tried to find the best route by clicking the second stop from the center and then one choice past that. "",""Q1"":""I learned to not click too many "",""Q2"":""32"",""Q3"":""female""}",105089,,1362861,,,survey-text,,27
