pid,responses,rt,time_elapsed
0,"{""Q0"":""Used inspector when possible to direct me where to click."",""Q1"":""If it was a negative amount that I could avoid"",""Q2"":""Based on the previous result"",""Q3"":""To the right or left of the spider"",""Q4"":""If the first circle had the highest amount, I would take that direction""}",91498,962866
0,"{""Q0"":""no"",""Q1"":""44"",""Q2"":""""}",10201,974075
1,"{""Q0"":""It wasn't easy. After I understood the game somewhat, I looked at how much I had to lose once I crossed the minus in red numbers."",""Q1"":""I was kind of confused through half the game so I'm not so sure I knew where to \""not click\"" until the games was more than half over"",""Q2"":""Somewhat guess work."",""Q3"":""up above or down below"",""Q4"":""No, I did terrible. I wish I knew what I was doing. ""}",143721,1818544
1,"{""Q0"":""Oh yes. But then maybe it was me. "",""Q1"":""63"",""Q2"":""I'm guessing since I'm older I'm also slower at understanding things.\nI don't know really.""}",51834,1871396
2,"{""Q0"":""I just randomly picked a direction. However, if I went one direction and it went well, I sometimes decided to click that way again."",""Q1"":""I just guessed"",""Q2"":""I just went all the way to the end of the line"",""Q3"":""To the right"",""Q4"":""I just made guesses honestly, I did not have much strategy.""}",100151,717606
2,"{""Q0"":""No"",""Q1"":""27"",""Q2"":""""}",10054,728676
3,"{""Q0"":""based on the location of the bug"",""Q1"":""if i had to go to that node anyway"",""Q2"":""when i maximized my potential"",""Q3"":""near the beginning"",""Q4"":""no""}",55378,914892
3,"{""Q0"":""no"",""Q1"":""22"",""Q2"":""no""}",11365,927261
4,"{""Q0"":""I clicked the last set of circles to find where a green 48 was"",""Q1"":""I felt it wasn't worth the $1 to click on the inner most circles"",""Q2"":""when i found a green 48"",""Q3"":""any of the outermost circles, except for where the green 48 had been in the previous round"",""Q4"":""it was pretty simple, i just wanted a green 48, and felt the green 48 from the previous round would most likely not be in the same spot twice in a row""}",108314,848000
4,"{""Q0"":""not at all"",""Q1"":""42"",""Q2"":""none""}",13112,862119
5,"{""Q0"":""I chose the highest value nodes"",""Q1"":""If it was a bad decision on the first node then I didn't need to test anymore in that set"",""Q2"":""when I got the highest amount or a good guess"",""Q3"":""in the first nodes"",""Q4"":""""}",53561,946583
5,"{""Q0"":""no"",""Q1"":""29"",""Q2"":""""}",6561,954150
6,"{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}",2975,524257
6,"{""Q0"":"""",""Q1"":"""",""Q2"":""""}",2916,528180
7,"{""Q0"":""Just guessed"",""Q1"":""Just guessed randomly"",""Q2"":""When I thought I found the largest number"",""Q3"":""To the left"",""Q4"":""No, it was pretty random""}",65222,875710
7,"{""Q0"":""No"",""Q1"":""49"",""Q2"":""I enjoyed this task""}",16832,893549
8,"{""Q0"":""It was sort of random guessing on the first three nodes. I didn't really see much of a pattern, but if I revealed a 48 first, I moved that way and did not click any more nodes."",""Q1"":""I didn't click much on the outer nodes."",""Q2"":""When I felt like I had already got the maximum numbers."",""Q3"":""One of the closet nodes, usually the left first."",""Q4"":""I felt like if I found the 48 right away that I should go in the direction because the loss after that wouldn't outweigh the 48.""}",115147,795467
8,"{""Q0"":""No"",""Q1"":""37"",""Q2"":""This was fun!""}",11859,808332
9,"{""Q0"":""Only end nodes"",""Q1"":""never on the first node"",""Q2"":""Once I found a +48"",""Q3"":""the end nodes."",""Q4"":""Once i found a 48 at an end node, I normally just went to it.""}",62657,948190
9,"{""Q0"":""Nothing. Straight forward."",""Q1"":""25"",""Q2"":""No.""}",55681,1004876
10,"{""Q0"":""Where ever the large + number was on the first move"",""Q1"":""Where ever the largest - number was on the first move"",""Q2"":""After the first click only, just because :)"",""Q3"":""the first 3 spots"",""Q4"":""No strategy, just luck. ""}",145139,907675
10,"{""Q0"":""No"",""Q1"":""49"",""Q2"":""That was fun!!!!""}",20365,929064
11,"{""Q0"":""i checked all the closest ones because they make the most difference."",""Q1"":""I didn't click ifI already knew where I was moving"",""Q2"":""When clicking any more wouldn't make a difference"",""Q3"":""right"",""Q4"":""""}",59752,713534
11,"{""Q0"":""no"",""Q1"":""32"",""Q2"":""""}",11015,725552
12,"{""Q0"":""i used the $1 to look "",""Q1"":""The lowest number"",""Q2"":""after 3"",""Q3"":""the frist circles"",""Q4"":""that's it. ""}",34668,1082882
12,"{""Q0"":""no"",""Q1"":""27"",""Q2"":""cheers""}",10862,1094751
13,"{""Q0"":""First node had the highest value so I chose the three nodes closest to the spider."",""Q1"":""Because 8-4=12 is less to lose than 24 or 48 so I clicked on the nodes to see the highest values to see if I can follow the path with the highest value outcome."",""Q2"":""When I found a 48 because no matter what that would be the best path."",""Q3"":""The left node closest to the spider."",""Q4"":""It was worth it to find the 48 value node in order to end up with the highest value at the end. ""}",144778,841614
13,"{""Q0"":""No, the game was easy to understand."",""Q1"":""27"",""Q2"":""I liked this.""}",16514,859133
15,"{""Q0"":""I thought about my previous click and how it turned out"",""Q1"":""If the node that I clicked was a negative number I chose between the other two nodes"",""Q2"":""I always went through all three nodes"",""Q3"":""on the node to the right"",""Q4"":""""}",88906,840888
15,"{""Q0"":""No"",""Q1"":""39"",""Q2"":""""}",8702,850605
16,"{""Q0"":""I clicked only the biggest ones which were the -48 to 48 because those could cause the most damage or gains."",""Q1"":""I did not click the low value ones"",""Q2"":""After I got 48"",""Q3"":""first level"",""Q4"":""No""}",109888,896998
16,"{""Q0"":""No"",""Q1"":""25"",""Q2"":""""}",11191,909218
17,"{""Q0"":""I always chose the last nodes because they had the highest amounts of money."",""Q1"":""I did not click on the closest nodes because they had low sums of money."",""Q2"":""I stopped clicking when I found an end node with $48."",""Q3"":""The upper left end node."",""Q4"":""I always went towards the highest priced end node.""}",67358,737024
17,"{""Q0"":""No"",""Q1"":""21"",""Q2"":""""}",9363,747392
18,"{""Q0"":""I didn't click. I used the arrow keys. I wasn't entirely sure how the game was supposed to work but it appeared more successful turning left than going up."",""Q1"":""It appeared less successful going up instead of going left."",""Q2"":""When I ran out of moves."",""Q3"":""To the left."",""Q4"":""Confusion and mystery.""}",92229,1141532
18,"{""Q0"":"""",""Q1"":""31"",""Q2"":""It's kind of like gambling.""}",17674,1160215
19,"{""Q0"":""Check the last tile until I find 48. Then the second tile. If it's an 8 then 48+8 is an automatic move. If an eight shows up in a direction I haven't revealed the third tile then I'll check those and go for the highest score on the board. If positive 48 isn't available then go for the next highest value with the same rules applying."",""Q1"":""Hardly if ever checking the first tile because it was a waste."",""Q2"":""When I found 48 in the outside followed by a 4 or 8 in the second tile."",""Q3"":""Start at the top left last tile and go clockwise until I find 48 in one of the tiles. Then check the second tile. If it was an 8 automatic pass if not check the others and if there was a positive 8 elsewhere then check the outer tiles there too."",""Q4"":""Minimize the information I needed to buy while maximizing the effectiveness of the information I get was pretty much the gameplan. If the outer tiles cost more then I may have been more hesitant about how I bought information but since the most valuable info was priced the same it was really easy.""}",433463,1374687
19,"{""Q0"":""No."",""Q1"":""24"",""Q2"":""Thank you for the game. It was fun!""}",24723,1400422
