hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject
3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3S942EFUVJDXQLKG9BRR77GMILFJEA,Betting Game,"This HIT takes about 20 minutes. You will a series of betting games. You will decide which bet to make based on observing possible outcomes for different bets. This pays $0.25 plus a bonus of up to $9.99, based on your winnings.","experiment, decision-making, reward-maximization",$0.25 ,Sat Mar 24 13:41:31 PDT 2018,100,0,0,100,Reviewable,NotReviewed,https://cocosci.berkeley.edu/mturk/paul/mouselab_journalArticle/index.html,7200,5,Sat Apr 07 13:41:31 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,33LK57MYLT57XCJDO2E3PMBP2LPZS1,A2HSCKH5NKN5LP,Approved,Sat Mar 24 13:55:33 PDT 2018,Sat Mar 24 13:42:46 PDT 2018,Sat Mar 24 13:55:28 PDT 2018,Sat Mar 24 13:55:37 PDT 2018,,,,
3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3S942EFUVJDXQLKG9BRR77GMILFJEA,Betting Game,"This HIT takes about 20 minutes. You will a series of betting games. You will decide which bet to make based on observing possible outcomes for different bets. This pays $0.25 plus a bonus of up to $9.99, based on your winnings.","experiment, decision-making, reward-maximization",$0.25 ,Sat Mar 24 13:41:31 PDT 2018,100,0,0,100,Reviewable,NotReviewed,https://cocosci.berkeley.edu/mturk/paul/mouselab_journalArticle/index.html,7200,5,Sat Apr 07 13:41:31 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3MD9PLUKKIEAHZR8G6XHQS1JFMHZNP,A8RDXT4ZILHQT,Approved,Sat Mar 24 13:55:50 PDT 2018,Sat Mar 24 13:42:32 PDT 2018,Sat Mar 24 13:55:45 PDT 2018,Sat Mar 24 13:56:37 PDT 2018,,,,
3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3S942EFUVJDXQLKG9BRR77GMILFJEA,Betting Game,"This HIT takes about 20 minutes. You will a series of betting games. You will decide which bet to make based on observing possible outcomes for different bets. This pays $0.25 plus a bonus of up to $9.99, based on your winnings.","experiment, decision-making, reward-maximization",$0.25 ,Sat Mar 24 13:41:31 PDT 2018,100,0,0,100,Reviewable,NotReviewed,https://cocosci.berkeley.edu/mturk/paul/mouselab_journalArticle/index.html,7200,5,Sat Apr 07 13:41:31 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3X08E93BHVI0M415FKEPRJM2FSW66W,A0017268R9SKD8U2Y3F,Approved,Sat Mar 24 13:57:25 PDT 2018,Sat Mar 24 13:42:10 PDT 2018,Sat Mar 24 13:57:20 PDT 2018,Sat Mar 24 13:57:37 PDT 2018,,,,
3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3S942EFUVJDXQLKG9BRR77GMILFJEA,Betting Game,"This HIT takes about 20 minutes. You will a series of betting games. You will decide which bet to make based on observing possible outcomes for different bets. This pays $0.25 plus a bonus of up to $9.99, based on your winnings.","experiment, decision-making, reward-maximization",$0.25 ,Sat Mar 24 13:41:31 PDT 2018,100,0,0,100,Reviewable,NotReviewed,https://cocosci.berkeley.edu/mturk/paul/mouselab_journalArticle/index.html,7200,5,Sat Apr 07 13:41:31 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3OLQQLKKNSPGNE9R5LRCCBJKIW4JE0,A1OBB3PWYWK9KK,Approved,Sat Mar 24 13:57:39 PDT 2018,Sat Mar 24 13:42:17 PDT 2018,Sat Mar 24 13:57:34 PDT 2018,Sat Mar 24 13:58:37 PDT 2018,,,,
3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3S942EFUVJDXQLKG9BRR77GMILFJEA,Betting Game,"This HIT takes about 20 minutes. You will a series of betting games. You will decide which bet to make based on observing possible outcomes for different bets. This pays $0.25 plus a bonus of up to $9.99, based on your winnings.","experiment, decision-making, reward-maximization",$0.25 ,Sat Mar 24 13:41:31 PDT 2018,100,0,0,100,Reviewable,NotReviewed,https://cocosci.berkeley.edu/mturk/paul/mouselab_journalArticle/index.html,7200,5,Sat Apr 07 13:41:31 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3PDJHANYK5GGJTLMB35TOABSO6CH68,A2YAYHZYI7M3HD,Approved,Sat Mar 24 13:58:03 PDT 2018,Sat Mar 24 13:43:34 PDT 2018,Sat Mar 24 13:57:58 PDT 2018,Sat Mar 24 13:58:37 PDT 2018,,,,
3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3S942EFUVJDXQLKG9BRR77GMILFJEA,Betting Game,"This HIT takes about 20 minutes. You will a series of betting games. You will decide which bet to make based on observing possible outcomes for different bets. This pays $0.25 plus a bonus of up to $9.99, based on your winnings.","experiment, decision-making, reward-maximization",$0.25 ,Sat Mar 24 13:41:31 PDT 2018,100,0,0,100,Reviewable,NotReviewed,https://cocosci.berkeley.edu/mturk/paul/mouselab_journalArticle/index.html,7200,5,Sat Apr 07 13:41:31 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3IO1LGZLK9XNQIKT8ZBNBXITLNM68I,A1B592DM38HTL4,Approved,Sat Mar 24 13:58:07 PDT 2018,Sat Mar 24 13:42:09 PDT 2018,Sat Mar 24 13:58:02 PDT 2018,Sat Mar 24 13:58:37 PDT 2018,,,,
3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3S942EFUVJDXQLKG9BRR77GMILFJEA,Betting Game,"This HIT takes about 20 minutes. You will a series of betting games. You will decide which bet to make based on observing possible outcomes for different bets. This pays $0.25 plus a bonus of up to $9.99, based on your winnings.","experiment, decision-making, reward-maximization",$0.25 ,Sat Mar 24 13:41:31 PDT 2018,100,0,0,100,Reviewable,NotReviewed,https://cocosci.berkeley.edu/mturk/paul/mouselab_journalArticle/index.html,7200,5,Sat Apr 07 13:41:31 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3X1FV8S5JXRNYN5CS5VJF2FQQZQGVZ,A353STSNL3BYS6,Approved,Sat Mar 24 13:58:08 PDT 2018,Sat Mar 24 13:42:09 PDT 2018,Sat Mar 24 13:58:03 PDT 2018,Sat Mar 24 13:58:37 PDT 2018,,,,
3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3S942EFUVJDXQLKG9BRR77GMILFJEA,Betting Game,"This HIT takes about 20 minutes. You will a series of betting games. You will decide which bet to make based on observing possible outcomes for different bets. This pays $0.25 plus a bonus of up to $9.99, based on your winnings.","experiment, decision-making, reward-maximization",$0.25 ,Sat Mar 24 13:41:31 PDT 2018,100,0,0,100,Reviewable,NotReviewed,https://cocosci.berkeley.edu/mturk/paul/mouselab_journalArticle/index.html,7200,5,Sat Apr 07 13:41:31 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3Z7ISHFUH0VPES44A48Y8VBOQRJ8ZB,AHIM8PGYOIN0K,Approved,Sat Mar 24 13:58:25 PDT 2018,Sat Mar 24 13:42:17 PDT 2018,Sat Mar 24 13:58:20 PDT 2018,Sat Mar 24 13:58:37 PDT 2018,,,,
3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3S942EFUVJDXQLKG9BRR77GMILFJEA,Betting Game,"This HIT takes about 20 minutes. You will a series of betting games. You will decide which bet to make based on observing possible outcomes for different bets. This pays $0.25 plus a bonus of up to $9.99, based on your winnings.","experiment, decision-making, reward-maximization",$0.25 ,Sat Mar 24 13:41:31 PDT 2018,100,0,0,100,Reviewable,NotReviewed,https://cocosci.berkeley.edu/mturk/paul/mouselab_journalArticle/index.html,7200,5,Sat Apr 07 13:41:31 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3JRJSWSMQHL5207220ZPW42VMZIE3J,A3JOUIM3CDC1DZ,Approved,Sat Mar 24 13:58:40 PDT 2018,Sat Mar 24 13:42:02 PDT 2018,Sat Mar 24 13:58:35 PDT 2018,Sat Mar 24 13:59:37 PDT 2018,,,,
3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3S942EFUVJDXQLKG9BRR77GMILFJEA,Betting Game,"This HIT takes about 20 minutes. You will a series of betting games. You will decide which bet to make based on observing possible outcomes for different bets. This pays $0.25 plus a bonus of up to $9.99, based on your winnings.","experiment, decision-making, reward-maximization",$0.25 ,Sat Mar 24 13:41:31 PDT 2018,100,0,0,100,Reviewable,NotReviewed,https://cocosci.berkeley.edu/mturk/paul/mouselab_journalArticle/index.html,7200,5,Sat Apr 07 13:41:31 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,31JLPPHS2UURERKRWE2L1GW9Q1O3OC,AL83KKXUORS9Y,Approved,Sat Mar 24 13:58:47 PDT 2018,Sat Mar 24 13:42:16 PDT 2018,Sat Mar 24 13:58:42 PDT 2018,Sat Mar 24 13:59:37 PDT 2018,,,,
3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3S942EFUVJDXQLKG9BRR77GMILFJEA,Betting Game,"This HIT takes about 20 minutes. You will a series of betting games. You will decide which bet to make based on observing possible outcomes for different bets. This pays $0.25 plus a bonus of up to $9.99, based on your winnings.","experiment, decision-making, reward-maximization",$0.25 ,Sat Mar 24 13:41:31 PDT 2018,100,0,0,100,Reviewable,NotReviewed,https://cocosci.berkeley.edu/mturk/paul/mouselab_journalArticle/index.html,7200,5,Sat Apr 07 13:41:31 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3OF2M9AATGO99T65JT51Y0KFLRCZKK,A3KA3A3M7LPMPA,Approved,Sat Mar 24 13:59:16 PDT 2018,Sat Mar 24 13:41:56 PDT 2018,Sat Mar 24 13:59:11 PDT 2018,Sat Mar 24 13:59:37 PDT 2018,,,,
3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3S942EFUVJDXQLKG9BRR77GMILFJEA,Betting Game,"This HIT takes about 20 minutes. You will a series of betting games. You will decide which bet to make based on observing possible outcomes for different bets. This pays $0.25 plus a bonus of up to $9.99, based on your winnings.","experiment, decision-making, reward-maximization",$0.25 ,Sat Mar 24 13:41:31 PDT 2018,100,0,0,100,Reviewable,NotReviewed,https://cocosci.berkeley.edu/mturk/paul/mouselab_journalArticle/index.html,7200,5,Sat Apr 07 13:41:31 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3D3VGR7TA0FUB4C7O6JPVB1E1O83RL,A12SMSQ6D5227J,Approved,Sat Mar 24 13:59:27 PDT 2018,Sat Mar 24 13:42:40 PDT 2018,Sat Mar 24 13:59:22 PDT 2018,Sat Mar 24 13:59:37 PDT 2018,,,,
3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3S942EFUVJDXQLKG9BRR77GMILFJEA,Betting Game,"This HIT takes about 20 minutes. You will a series of betting games. You will decide which bet to make based on observing possible outcomes for different bets. This pays $0.25 plus a bonus of up to $9.99, based on your winnings.","experiment, decision-making, reward-maximization",$0.25 ,Sat Mar 24 13:41:31 PDT 2018,100,0,0,100,Reviewable,NotReviewed,https://cocosci.berkeley.edu/mturk/paul/mouselab_journalArticle/index.html,7200,5,Sat Apr 07 13:41:31 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3WJGKMRWVI9L0ARR9VU4U5TG12DCDY,3IX2EGZR7BJ5WIEWRRBCBII3XLUJRD,A2JIRC73O88L0U,Approved,Sat Mar 24 13:59:47 PDT 2018,Sat Mar 24 13:43:58 PDT 2018,Sat Mar 24 13:59:42 PDT 2018,Sat Mar 24 14:00:37 PDT 2018,,,,
