responses,rt,time_elapsed,trial_type,pid
"{""Q0"":""I always clicked on the ones next to the spider"",""Q1"":""Anywhere after a -10 next to the spider"",""Q2"":""When I found a profitable path, generally"",""Q3"":""The ones next to the spider"",""Q4"":""That's about it, I could have done better if I did not rush""}",76802,776457,survey-text,0
"{""Q0"":""No, it was clear"",""Q1"":""23"",""Q2"":""""}",8998,786464,survey-text,0
"{""Q0"":""To try to maximize my earnings"",""Q1"":""So I would not have money taken from me"",""Q2"":""when I felt that i would hit a good spot"",""Q3"":""The right tile"",""Q4"":""Nothing really strategic honestly ""}",158492,804120,survey-text,1
"{""Q0"":""No"",""Q1"":""40"",""Q2"":""interesting""}",11824,816954,survey-text,1
"{""Q0"":""I tried to find out which one started with a positive score (if any) and then try to follow that path."",""Q1"":""Whenever I hit a negative score in a path I tried to abandon that path."",""Q2"":""When I felt the payoff present on the visible nodes would exceed any possible negative nodes I might land on."",""Q3"":""Any adjacent node UNTIL I hit a positive"",""Q4"":""Just trying not to click more than needed to find a good path.""}",109152,854649,survey-text,2
"{""Q0"":""no."",""Q1"":""30"",""Q2"":""none.""}",14425,870076,survey-text,2
"{""Q0"":""I guessed or used the inspector thing"",""Q1"":""I avoided losing money"",""Q2"":""When i found a path that made me money"",""Q3"":""the nodes next to the first one"",""Q4"":""no""}",32601,405743,survey-text,3
"{""Q0"":""No"",""Q1"":""29"",""Q2"":""""}",6255,413000,survey-text,3
"{""Q0"":""I did it randomly."",""Q1"":""Randomly."",""Q2"":""When I reached the end."",""Q3"":""To the left."",""Q4"":""no""}",15853,412670,survey-text,4
"{""Q0"":""No"",""Q1"":""31"",""Q2"":""It was fun.""}",8209,421937,survey-text,4
"{""Q0"":""Based on the node inspector's results. I always tried to choose the path that earned me the most."",""Q1"":""I avoided nodes that deducted money."",""Q2"":""Just when I felt I knew enough."",""Q3"":""The top left end-node, I believe."",""Q4"":""Not much more to it.""}",68563,852082,survey-text,5
