p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,key_press,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,,"{""Q0"":""I would look for the layover spots that had a positive value."",""Q1"":""Yes, as the game went along, you knew what to look for."",""Q2"":""30"",""Q3"":""Female""}",35976,,1062173,,,survey-text,,0
,,,,,,,,,,,,,,"{""Q0"":""I searched the totals for the end route to see what was a positive and high amount"",""Q1"":""i tried also searching the midpoint routes to see what those amounts were and looked for the positive amounts"",""Q2"":""43"",""Q3"":""female""}",63941,,720849,,,survey-text,,1
,,,,,,,,,,,,,,"{""Q0"":""Trying to eliminate a few bad destinations."",""Q1"":""Yes, eliminate known bad destinations if possible."",""Q2"":""31"",""Q3"":""Male""}",56181,,863182,,,survey-text,,3
,,,,,,,,,,,,,,"{""Q0"":""I tried to see what values were in the middle and then click on the final destinations and went the way with the most dollar value"",""Q1"":""i got worse as i went on"",""Q2"":""29"",""Q3"":""female""}",46466,,1038727,,,survey-text,,4
,,,,,,,,,,,,,,"{""Q0"":""I liked to see which path had the most money. I thought about how it's unlikely if there are too many negatives."",""Q1"":""I learned that it was better to see more and pay to do so."",""Q2"":""31"",""Q3"":""Female""}",73649,,959920,,,survey-text,,5
,,,,,,,,,,,,,,"{""Q0"":""I based the plan on what would yield me the most money. "",""Q1"":""I learned that it's better to check many route options first."",""Q2"":""40"",""Q3"":""Female""}",92160,,1230883,,,survey-text,,6
,,,,,,,,,,,,,,"{""Q0"":""random"",""Q1"":""no"",""Q2"":""33"",""Q3"":""female""}",20539,,1014990,,,survey-text,,8
,,,,,,,,,,,,,,"{""Q0"":""Once I knew I had a positive profit I would just go for it and hope the rest cam eout in the wash"",""Q1"":""Yes! I needed to start considering the SECOND step"",""Q2"":""22"",""Q3"":""male""}",47207,,1132898,,,survey-text,,10
,,,,,,,,,,,,,,"{""Q0"":""I uncovered spots until I felt I had gathered enough information.\n"",""Q1"":""No.\nAlso this HIT's pay is criminally low. There is no way to get the bonus amount advertised which makes this HIT around $1 (assuming you even got that much for a bonus) for 30 minutes. That's a few cents per hour. Please make the HIT pay X amount instead of a frivolous bonus next time, please."",""Q2"":""24"",""Q3"":""Female""}",136898,,1240370,,,survey-text,,11
,,,,,,,,,,,,,,"{""Q0"":""I never revealed any of the circles' value amount (except during the first round accidentally) and randomly selected the route each round."",""Q1"":""It seemed more beneficial to not reveal the amount of money under each circle and just go for one. "",""Q2"":""26"",""Q3"":""female""}",114268,,781346,,,survey-text,,12
