button_pressed,rt,stimulus,time_elapsed,trial_type,pid
0.0,9038,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",523312,button-response,0
0.0,17156,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",875465,button-response,1
0.0,6251,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",309271,button-response,2
0.0,9565,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",428827,button-response,3
0.0,13811,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",389719,button-response,4
0.0,23885,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",529809,button-response,5
0.0,2311,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",165389,button-response,6
0.0,18717,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",458798,button-response,7
0.0,10598,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",335159,button-response,8
0.0,40603,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",534573,button-response,9
0.0,16473,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",432237,button-response,10
0.0,5804,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",294800,button-response,11
0.0,23128,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",332712,button-response,12
0.0,9386,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",377959,button-response,13
0.0,4381,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",211160,button-response,14
0.0,12074,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",436252,button-response,15
0.0,14965,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",427926,button-response,16
0.0,8564,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",357036,button-response,17
0.0,27481,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",469409,button-response,18
0.0,20238,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",512788,button-response,19
0.0,7034,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",363384,button-response,20
0.0,6482,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",547828,button-response,21
0.0,28919,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",480635,button-response,22
0.0,10914,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",356184,button-response,23
0.0,11371,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",575533,button-response,24
0.0,46150,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",419891,button-response,25
0.0,18543,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",563095,button-response,26
0.0,10412,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",582639,button-response,27
0.0,10883,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",478156,button-response,28
0.0,6832,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",339593,button-response,29
0.0,8010,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>30
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 1 cent for every $5 you make in the game.</strong></p>

<p>One more thing: <strong>You must spend <em>at least</em> 7 seconds on each round.</strong>
If you finish a round early, you'll have to wait until 7 seconds have
passed.</p>

<p>To thank you for your work so far, we'll start you off with <strong>$50</strong>.
Good luck!</p>",452476,button-response,30
