action_times,actions,block,button_pressed,key_press,path,queries,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_type,pid
,,,0.0,,,,,,1519,,,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>20
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 5 cents for every $10 you make in the game.</strong>
Good luck!</p>",364380,,button-response,0
,,,0.0,,,,,,52856,,,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>20
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 5 cents for every $10 you make in the game.</strong>
Good luck!</p>",350977,,button-response,1
,,,0.0,,,,,,3797,,,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>20
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 5 cents for every $10 you make in the game.</strong>
Good luck!</p>",336800,,button-response,2
,,,0.0,,,,,,4133,,,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>20
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 5 cents for every $10 you make in the game.</strong>
Good luck!</p>",379669,,button-response,3
,,,0.0,,,,,,2081,,,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>20
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 5 cents for every $10 you make in the game.</strong>
Good luck!</p>",353347,,button-response,4
,,,0.0,,,,,,4959,,,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>20
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 5 cents for every $10 you make in the game.</strong>
Good luck!</p>",394583,,button-response,5
,,,0.0,,,,,,1395,,,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>20
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 5 cents for every $10 you make in the game.</strong>
Good luck!</p>",420983,,button-response,6
,,,0.0,,,,,,4943,,,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>20
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 5 cents for every $10 you make in the game.</strong>
Good luck!</p>",477057,,button-response,7
,,,0.0,,,,,,6597,,,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>20
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 5 cents for every $10 you make in the game.</strong>
Good luck!</p>",441340,,button-response,8
,,,0.0,,,,,,2936,,,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>20
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 5 cents for every $10 you make in the game.</strong>
Good luck!</p>",336548,,button-response,9
,,,0.0,,,,,,4625,,,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>20
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 5 cents for every $10 you make in the game.</strong>
Good luck!</p>",322130,,button-response,10
,,,0.0,,,,,,5922,,,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>20
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 5 cents for every $10 you make in the game.</strong>
Good luck!</p>",545396,,button-response,11
,,,0.0,,,,,,2857,,,"<h1 id=""trainingcompleted"">Training Completed</h1>

<p>Well done! You've completed the training phase and you're ready to
play <em>Web of Cash</em> for real. You will have <strong>20
rounds</strong> to make as much money as you can. Remember, <strong>you will earn 5 cents for every $10 you make in the game.</strong>
Good luck!</p>",485213,,button-response,12
