pid,assignment_id,worker_id
0,3Z4AIRP3C6DIYXK4A1BYW08522LX1L,A1160COTUR26JZ
1,3OVHNO1VE611VN0VRCJEUNPPZZMZDA,A12BTFPKFKKD2I
2,3MH9DQ757WCNL8GCNFLEJGD7A9NUGQ,A12GJUCS7AJ4K
3,35DR22AR5DKE80YJX5PHKTN20M03XK,A173LV77LF3SHB
4,3ON104KXQKWK1WCXNEYESF115KQ4WD,A1931U5JHX67RA
5,3JPSL1DZ5SZ9GRJ04EHI9ZAA4IKAN5,A1ALU9NOW3R98V
6,3CCZ6YKWR7JRLJ3P887WJNZ47F095X,A1D24G67HQDIXE
7,3M1CVSFP605UJOWSK69ZDT5F9T6QA7,A1GCHROMU3JSBI
8,3OWEPKL089CRXPL2XB5YZ88K3ACN7P,A1PKCBFB4QY19G
9,3TPZPLC3M0C9ZRWSBEF0QG1ZYNT3PY,A1TTFE7OTLIJW8
10,3PM8NZGV8YG6F14LVG1DX1GDAEGQXC,A1Y5TDFGIVWIRP
11,39N5ACM9HENVETL8SNGAHT4LYF19PJ,A1YAVTFZ9BULVV
12,3IUZPWIU1O75FY1086LUZWQX26FWKU,A22NOME8P61FM4
13,317HQ483I7SOM92YG29VQXYTHQNNIK,A2A028LRDJB7ZB
14,3L4PIM1GQTGVR79VDRCFL5XR86TYR8,A2FLZP3C6U67JY
15,3PJUZCGDJ6GA81MR66EZV79V952980,A2G0HRT8HS9HRZ
16,3JBT3HLQF82AKK3LWLA9UH6EDIRPZG,A2G4PA35IX5RIA
17,3OHYZ19UGC5RYCJC5THVOOAFUSNOAW,A39ZJ6GDHFZRJW
18,3R9WASFE2ZGYT7ERIIE4INSABC2ZFL,A3PNUKFE80TO9Z
19,3V5Q80FXIXRD7KVM9G4OU3T6NDZ238,A3S300T3IVQ2GC
20,3A7Y0R2P2OOPTE080QH4004RWJMJXC,A3SL5QRF7MX2P1
21,3AUQQEL7U5TQNJURE36GUASAHZ8V0E,A3UFERVCN9A8IH
22,3NKQQ8O39Y5K9O6LLPK6DVAAXH7UDG,A7MTKYSUBNLFF
23,3Z2R0DQ0JHEGHIBJY0LKDUX3E2PE2B,ANS2HYRPWB9B4K
24,3WT783CTPBHV8XR1L280OZ04NWPBCH,ARO8O2P0NMY3Y
25,3TPWUS5F891NW0PCGT4WBDDPXX6WCH,AVS3DZVA6NT1
26,3MHW492WW0DNQX1Y38TES7ZNK2AMVH,AXE6PTRG2TFTZ
27,debugwvckC,debugQwAzf
