pid,responses,rt,time_elapsed
0,"{""Q0"":""Randomly"",""Q1"":""Randomly"",""Q2"":""Randomly"",""Q3"":""left"",""Q4"":""No""}",57624,777260
0,"{""Q0"":""No"",""Q1"":""37"",""Q2"":""""}",11927,790194
1,"{""Q0"":""I always chose the lesser of two evils if all the revealed nodes were negative, if they showed positive i chose the highest, then i trusted my instincts on the rest. I am generally a naturally good guesser."",""Q1"":""I trusted my instincts."",""Q2"":""when i had no more turns."",""Q3"":""the node to the left."",""Q4"":""sometimes when i clicked all three nodes, only two numbers were revealed, if they were both negative then i took my chance on the one that wasn't revealed. ""}",201387,1303172
1,"{""Q0"":""no."",""Q1"":""35"",""Q2"":""The game itself was exciting, but i don't really like to gamble because i hate losing money so it was a little stressful every time my numbers would get up to 160 then drop back down to 20. This is why i don't go to the casino, losing money is not fun for me. i don't understand the appeal of gambling.""}",123787,1427962
2,"{""Q0"":""Where there were green numbers and not red"",""Q1"":""Where there were high losses"",""Q2"":""when I found a way to get something positive"",""Q3"":""at the branches closest to me. "",""Q4"":""I would not click further in one direction if a high loss was closest to me.""}",86480,706791
2,"{""Q0"":""No. It was a fun game"",""Q1"":""45"",""Q2"":""Thank you.""}",17580,725381
3,"{""Q0"":""I decided I'd try the first circle of each path until I got a positive number."",""Q1"":""Anywhere that started out as -10 I wouldn't click beyond. "",""Q2"":""When I had enough information to know I would be in the positive."",""Q3"":""The closest circle to the starting point of each path."",""Q4"":""Nothing else I can think of. ""}",85566,854610
3,"{""Q0"":""No"",""Q1"":""30"",""Q2"":""""}",7369,862988
4,"{""Q0"":""where the spider would go first"",""Q1"":""the negative numbers"",""Q2"":""when i found positive numbers"",""Q3"":""the first spots"",""Q4"":""""}",67655,913555
4,"{""Q0"":""no"",""Q1"":""52"",""Q2"":""""}",13652,928219
5,"{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}",5520,546138
5,"{""Q0"":"""",""Q1"":""28"",""Q2"":""""}",4597,551741
6,"{""Q0"":""I started with the first node out, and if that was green I checked the attached nodes. "",""Q1"":""if the amounts were negative to begin with, I didn't click further. "",""Q2"":""when I found a path that seemed to have the most money possible. "",""Q3"":""in any of the first nodes away from the spider. "",""Q4"":""I just tried to click as few spaces as possible to find my way. ""}",157305,1329778
6,"{""Q0"":""No. It was all pretty clear. "",""Q1"":""41"",""Q2"":""This was really fun. ""}",27145,1357942
7,"{""Q0"":""random"",""Q1"":""random"",""Q2"":""random"",""Q3"":""to the left"",""Q4"":""not really, just random.""}",44089,681078
7,"{""Q0"":""no"",""Q1"":""38"",""Q2"":""""}",10731,692826
8,"{""Q0"":""I tried to select one node from the ends of each web to see if any would be positive and, if so, if they were 10 (felt safer going there) or if they were 5 (could be a negative before the end that would wipe out the 5)."",""Q1"":""I usually did not want to waste clicks next to the start if I found a 10 at the end. I also did not waste a click if the end value was a -10 since that direction would be too risky to take."",""Q2"":""Often I would use up all my clicks but sometimes I would see a 10 at the end, maybe click the second to last node and, if it was also positive I would just take that route with no further clicking."",""Q3"":""At the end value of the upper right web"",""Q4"":""I tried to use my clicks to explore the greatest area, so I would choose an end value from each of the three trails. If that end value was 10, I figured that I would likely not get two other negative tens on that path, so I would select to go ahead. If the value was a -10 I would avoid that path since I could also be facing a -5 along the way and even with a 10 I would still be losing. If the value was a -5 I might click another node on that path to see if it was 10 so that I could hope to at least break even on the path.""}",509070,1612280
