1	1	Lorem ipsum dolor sit amet, consectetur adipiscing elit. 
2	0	Donec tristique, lacus et vestibulum iaculis, tellus nunc
3	1	 lobortis ante, et tincidunt nibh metus eu leo. Cras vitae
4	0	 nisi ut tellus ullamcorper dictum sed vitae massa. In odio
5	1	 mauris, cursus at lectus in, auctor mollis elit. Curabitur
6	0	 odio purus, dictum at ultrices quis, rutrum nec velit.
7	1	 Aliquam suscipit, sem in maximus auctor, velit nibh dapibus
8	0	 lectus, in tempor ipsum nisl in dolor. Duis commodo leo nec
9	1	 ultrices volutpat. Proin consequat lectus sed nibh pharetra,
10	0	 id blandit lacus interdum. Morbi consequat, leo quis ullamcorper
11	1	 rutrum, massa neque lacinia massa, sed tincidunt justo turpis
12	0	 nec purus. Curabitur sed iaculis justo, in tempus ex. Morbi
13	1	 sit amet augue vel dolor volutpat sagittis.
14	0	In vestibulum ipsum id mauris ullamcorper, sed eleifend
15	1	 massa fermentum. In non libero sollicitudin, lacinia dui
16	0	 vitae, ultrices enim. Fusce eget quam volutpat nibh maximus
17	1	 commodo et sed tortor. Nulla cursus metus metus, ut elementum nibh dictum ut. Pellentesque vitae rutrum nunc. Donec bibendum sagittis rutrum.
18	0	 Nullam accumsan mauris mattis, rhoncus urna a, tincidunt nulla.
19	1	 Pellentesque habitant morbi tristique senectus et netus et malesuada
20	0	 fames ac turpis egestas. Aenean sit amet lacus orci. Vestibulum ante
21	1	 ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae;
22	0	 In lacus ligula, ultrices vitae nibh euismod, placerat fringilla ante.
23	1	 Nullam eleifend libero iaculis nulla volutpat, sodales viverra odio
24	0	 ultrices. Aenean a aliquam tellus. Ut viverra tempor leo, vel lacinia
25	1	 lectus porta at. Praesent euismod metus quis orci pretium, et ultricies ligula euismod.
26	0	 Praesent tristique magna ante, ac vulputate ligula gravida a. Etiam aliquet metus id nisl faucibus, a iaculis nisl malesuada. Pellentesque a rhoncus justo
27	1	Nullam eget imperdiet tellus, quis vestibulum massa. Quisque id nunc
28	0	 vestibulum, volutpat velit quis, venenatis justo. Phasellus a eros ipsum. Nulla scelerisque tortor a efficitur viverra. Praesent sollicitudin,
29	1	 sapien et tristique interdum, lacus ipsum gravida sem, in aliquam arcu est ac leo. Ut aliquam nisl in libero feugiat imperdiet. Ut et risus sit amet
30	0	 augue molestie cursus vitae sed quam. Proin feugiat dui at 
31	1	justo tincidunt rutrum. Donec dignissim turpis felis, sit amet porta dui interdum a.
32	0	Suspendisse volutpat non ligula et interdum. Sed erat lorem,
33	1	 posuere eget massa sed, rutrum congue magna. Ut hendrerit 
34	0	fringilla lacus sed eleifend. In vel congue justo. Suspendisse potenti
35	1	. Mauris sed mattis massa, et hendrerit augue. Morbi cursus non enim 
36	0	nec condimentum. Nullam porta consectetur molestie. Nulla eget turpis 
37	1	in massa tincidunt tristique. Aliquam tristique felis id nisl suscipit 
38	0	tincidunt. Mauris at dignissim magna. Sed ut pharetra nisi. Sed vehicula 
39	1	enim at leo interdum blandit. Pellentesque scelerisque lorem ac tincidunt semper.
40	0	 Proin sollicitudin vulputate diam a tempus. Donec metus erat, ultrices id lobortis id, ullamcorper id ante.
41	1	Nunc scelerisque nibh id tortor consequat egestas. Donec non metus 
42	0	non nulla aliquam tristique. Phasellus faucibus pellentesque mi et fermentum. 
43	1	Phasellus imperdiet augue ac tellus ultricies posuere aliquam id nisl.
44	0	 In magna felis, elementum a ante eget, hendrerit facilisis tellus.
45	1	 Nulla rhoncus massa tortor, id blandit quam fringilla at. Vestibulum
46	0	 vitae venenatis erat, in blandit purus. Sed non nibh vulputate, dignissim 
47	1	leo sit amet, scelerisque metus. Vestibulum commodo sit amet libero id
48	0	 scelerisque. Vestibulum at nisl at lectus pharetra gravida. Proin et 
49	1	augue vitae massa bibendum ultrices eget a lorem. In porta quis neque ut 
