p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,"{""Q0"":""I chose clicked on a starting point and an end point and if they were both positive dollar amounts I went that route."",""Q1"":""It seemed getting the info to a few points was a better plan than utilizing complete info based off of trying a few different patterns."",""Q2"":""51"",""Q3"":""female""}",128463,,1046610,,,survey-text,,0
,,,,,,,,,,,,,"{""Q0"":""How i would make the most money."",""Q1"":""Definitely to check all the bubbles and prices first even if it meant losing some money."",""Q2"":""30"",""Q3"":""female""}",33278,,779661,,,survey-text,,1
,,,,,,,,,,,,,"{""Q0"":""I would start out with the circles closest to the plane.   Then trace the route out with the highest payout."",""Q1"":""Trying to pick the one with the highest pay route and avoiding any minus amounts if possible.  If I saw a very high paying route,  I would stop revealing amounts and take it. "",""Q2"":""39"",""Q3"":""Male""}",123430,,1047223,,,survey-text,,2
,,,,,,,,,,,,,"{""Q0"":""I mostly clicked all circles before deciding my route."",""Q1"":""If you found a path with a green 4, 12, and 20, that was the best path."",""Q2"":""43"",""Q3"":""female""}",124872,,906071,,,survey-text,,3
,,,,,,,,,,,,,"{""Q0"":""I tried to stop when I had a good bonus."",""Q1"":""Quit while you're ahead."",""Q2"":""30"",""Q3"":""female""}",19353,,1199377,,,survey-text,,4
,,,,,,,,,,,,,"{""Q0"":""Most of the time I would see what the biggest final incentive was and work backward from there. "",""Q1"":""The investment of knowing the amounts was worth it."",""Q2"":""31"",""Q3"":""male""}",100832,,966849,,,survey-text,,5
,,,,,,,,,,,,,"{""Q0"":""I just tried to go back paths I had success with before."",""Q1"":""not really know. I just felt like it was always hoping for the best. "",""Q2"":""35"",""Q3"":""female""}",51594,,881236,,,survey-text,,6
,,,,,,,,,,,,,"{""Q0"":""I went mainly with my gut instincts.  I tried switching up the path each time."",""Q1"":""I sadly did not."",""Q2"":""30"",""Q3"":""Male""}",42328,,1120302,,,survey-text,,7
,,,,,,,,,,,,,"{""Q0"":""I finally figured out which routes offered the most money by clicking on all the circles"",""Q1"":""If the outer wings were both negative, I didn't continue revealing their paths"",""Q2"":""41"",""Q3"":""Female""}",42687,,983473,,,survey-text,,8
,,,,,,,,,,,,,"{""Q0"":""At first,I clicked on almost all of the circles in order to see what path had the most money in it"",""Q1"":""After a while, I would only click the first 2 two circles in a path to see what money was there. I didn't want to loose too much by clicking them all. "",""Q2"":""38"",""Q3"":""Female""}",72590,,875637,,,survey-text,,9
,,,,,,,,,,,,,"{""Q0"":""Randomly "",""Q1"":""No. "",""Q2"":""21"",""Q3"":""Male""}",16853,,1059981,,,survey-text,,11
,,,,,,,,,,,,,"{""Q0"":""I opened up all of the paths to see which one was best. It didn't cost much to open them up."",""Q1"":""I started just opening up the first path, and if it was positive then open the rest of it up. I spent a little less money to open paths."",""Q2"":""26"",""Q3"":""female""}",79375,,968444,,,survey-text,,12
,,,,,,,,,,,,,"{""Q0"":""I thought it was best just to look at all spaces"",""Q1"":""Just ensure that you are following the best route"",""Q2"":""28"",""Q3"":""Male""}",19896,,1231917,,,survey-text,,13
,,,,,,,,,,,,,"{""Q0"":""I looked for the routes that ended in positive amounts"",""Q1"":""No"",""Q2"":""37"",""Q3"":""Female""}",60723,,967388,,,survey-text,,14
,,,,,,,,,,,,,"{""Q0"":""Looking for the highest values without clicking too many bubbles."",""Q1"":""Keep clicking if you'll get a loss.  Don't fly blind!"",""Q2"":""35"",""Q3"":""MANS""}",39049,,840881,,,survey-text,,16
,,,,,,,,,,,,,"{""Q0"":""I tried to stick to the routes that would give me more money, I felt the fee of looking at tons of the routes was worth it."",""Q1"":""Not really."",""Q2"":""22"",""Q3"":""Female/Agender Genderfluid""}",45307,,843758,,,survey-text,,17
,,,,,,,,,,,,,"{""Q0"":""I CHECKED THE AMOUNTS FOR THE ROUTE TO MAKE SURE I'D UP UP POSITIVE"",""Q1"":""LOOKS FOR THE BEST DEAL"",""Q2"":""33"",""Q3"":""FEMALE""}",40254,,918661,,,survey-text,,18
